,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
9325,Red,1,0,1,1,0,1,1,10,2,0,2,0,1,1494,27,19,31,192579,236675,14377,37042,40242,2364,13845,37687,44801,20370,73,66,26455,45540,4734,45776,362,142,75,38,587,64
9326,Blue,0,1,1,0,0,0,0,1,0,0,0,0,0,1838,17,51,10,168171,211809,27921,33343,21664,2496,19400,47280,7648,5217,71,87,63940,51093,2660,42864,392,106,81,4,997,66
9327,Red,1,0,0,1,0,1,0,11,2,0,4,0,0,1838,51,17,47,353697,186949,37898,62966,26723,2660,36843,61395,53052,23474,117,153,36189,56543,2494,57045,468,160,104,25,1908,77
9328,Blue,0,0,1,0,0,0,1,4,0,1,3,0,2,2614,38,49,55,166084,604947,38890,31685,72866,5058,32384,133726,74870,10181,115,153,51478,119888,7678,74126,639,124,80,8,995,88
9329,Red,1,1,0,1,1,1,0,11,4,1,4,0,0,2614,49,39,46,265789,523760,46470,49303,81214,7678,40439,173296,83641,23741,169,175,35995,118604,8059,73930,558,209,99,47,1785,85
9330,Blue,1,0,1,1,0,0,0,9,3,0,4,0,0,2306,65,50,79,418038,233548,56543,115888,36096,6236,47948,155940,64079,27074,87,153,28673,129280,3336,74110,438,166,99,30,1518,83
9331,Red,0,1,0,0,1,1,1,3,0,1,2,0,1,2306,49,65,54,95719,571638,36687,26991,91554,3336,41712,126707,59615,10098,108,98,120601,68748,7750,67102,424,211,117,44,1208,77
9332,Blue,1,1,1,0,0,1,1,5,0,0,2,0,2,1261,22,12,14,46921,276644,42656,9298,25449,3209,18668,36746,47777,13561,46,51,26342,31187,3975,38067,374,123,80,0,460,59
9333,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,1261,12,22,13,151274,123866,31847,25296,10572,3977,10285,30636,15432,5586,65,86,12852,42263,3208,32414,383,90,80,0,821,54
9334,Blue,0,0,0,0,0,1,1,4,0,0,1,0,1,1855,40,51,28,308165,271251,25407,64234,30453,2613,37469,116658,29253,10344,87,74,33869,122952,3564,58436,556,115,81,9,1522,74
9335,Red,1,1,1,1,1,0,0,11,4,1,3,0,0,1855,51,40,61,137797,393054,35538,32962,89952,3564,20421,69435,75400,30896,85,79,67429,60022,5612,63608,430,169,97,27,937,76
9336,Blue,1,0,1,1,1,1,1,9,1,1,4,0,1,1841,30,25,38,288322,337991,46143,44460,37830,2317,19062,48235,75145,18766,76,117,22406,52061,5394,57560,527,186,111,28,626,76
9337,Red,0,1,0,0,0,0,0,1,0,0,0,0,0,1841,25,31,28,205035,182658,34650,19779,27045,3394,21965,72491,11409,4611,86,68,44731,56483,2317,49014,534,59,48,0,1116,70
9338,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,1006,15,22,9,39071,102030,21790,9318,23184,4576,5133,19778,5496,5393,36,48,453,38426,3209,27086,293,5,4,0,229,44
9339,Red,1,1,1,0,0,1,1,4,0,0,1,0,1,1006,22,15,15,3939,197636,31509,337,31035,3212,15123,30534,25522,9574,36,48,10834,37276,4575,32520,233,96,57,12,276,50
9340,Blue,1,1,1,0,0,1,1,4,0,0,2,0,1,1464,28,18,32,124664,189962,47490,32067,26212,3048,15624,37605,30659,11486,67,102,23531,42027,2368,41459,355,115,73,7,1132,58
9341,Red,0,0,0,0,0,0,0,2,0,0,1,0,0,1464,18,28,28,129389,154733,33012,22819,22816,2368,27058,53302,18613,5140,64,69,34019,45890,3046,38692,359,100,82,0,519,59
