,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
1473,Red,1,0,1,1,1,0,1,7,2,1,0,0,1,1710,35,28,58,214692,214284,49558,48657,25190,6595,18193,72448,45189,11598,111,96,43226,51663,5278,55974,501,111,95,1,1239,73
1474,Blue,1,1,1,1,0,0,1,8,2,1,4,0,1,2149,46,38,67,193224,569982,39546,44888,87906,5128,31923,125139,82370,17532,158,277,30399,110864,3562,70588,618,197,111,32,1054,84
1475,Red,0,0,0,0,1,1,0,1,0,1,1,0,0,2149,37,46,58,200376,374760,32077,29373,70102,3564,31490,123579,34407,3771,170,159,49148,110539,5128,63562,607,147,114,4,1991,80
1476,Blue,1,1,1,1,1,1,0,11,3,1,3,0,0,2007,43,33,61,232778,441003,17734,49178,86282,4545,47094,137958,62008,25641,115,185,31426,83146,7826,67297,560,179,96,32,1947,82
1477,Red,0,0,0,0,0,0,0,2,0,0,0,0,0,2007,33,43,40,195407,351594,31898,29628,60826,7036,43178,164852,11604,8281,108,166,50556,109246,4544,57722,642,65,57,4,1441,74
1478,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,1672,23,44,28,147194,183758,29902,24065,33315,3354,21961,52783,7267,7267,67,92,20465,82424,2773,47426,478,29,24,0,735,68
1479,Red,1,1,1,1,1,1,0,9,3,1,3,0,0,1672,44,23,49,49040,485153,20468,19418,70871,2774,26547,84034,74646,22953,107,89,27845,65571,5354,58735,494,194,91,51,690,74
1480,Blue,0,1,0,0,0,0,0,1,0,0,0,0,0,1270,19,34,12,111462,161453,17715,18645,19007,2587,13668,38684,11042,3429,41,39,29722,46517,4958,35265,369,103,83,0,485,56
1481,Red,1,0,1,1,0,1,1,9,2,0,3,0,1,1270,34,20,43,136325,227935,41664,28749,31635,4959,18004,36201,57433,23662,81,86,19742,47068,3585,47082,443,104,71,0,512,60
1482,Blue,1,0,1,1,0,1,0,8,2,0,2,0,0,1419,38,12,44,97141,317645,23838,13994,42219,9965,39007,42533,33690,20774,87,62,21648,52197,2019,50575,508,127,71,27,825,65
1483,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,1419,12,38,16,88387,180124,18146,20122,26553,2322,21451,53578,4719,417,61,89,15583,57922,10290,34719,390,72,64,0,779,56
1484,Blue,1,0,1,1,0,1,0,6,1,0,2,0,0,1348,26,12,37,102645,258910,28011,21156,34601,3425,18461,37699,37429,19412,80,83,3698,52858,2589,44165,474,112,82,4,701,64
1485,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,1348,12,26,9,11753,297580,26757,2103,28164,2589,13919,51509,8419,2937,53,47,23134,51330,3559,34635,482,117,96,0,398,59
1486,Blue,1,1,1,1,0,1,0,10,3,0,3,0,0,1741,42,20,69,98941,387923,32350,14658,67584,6367,28850,63897,44162,23529,99,123,38767,53286,4788,59728,455,152,91,24,962,71
1487,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,1741,20,44,32,144266,257345,24568,37367,24903,4790,11700,67745,12746,6326,87,127,15968,88801,7364,46366,439,102,85,0,966,65
1488,Blue,1,1,1,1,1,1,1,9,2,1,3,0,1,1421,29,15,30,61698,360187,31022,11383,39755,1437,29795,37888,67258,20596,83,71,23015,50952,5365,48492,481,120,56,32,600,65
1489,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,1421,15,29,24,174572,148853,70603,21880,19444,4364,16527,44523,6463,5346,51,80,12095,60031,1437,37359,444,64,52,4,674,60
1490,Blue,1,1,1,1,0,1,0,11,2,0,2,0,0,1284,39,17,50,148192,262797,15621,22890,48921,1821,25166,34561,44077,30583,64,88,25831,41305,2419,50748,399,106,65,18,1065,62
1491,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,16,39,13,86744,146238,13831,24290,19650,2419,9600,47743,4600,3081,62,87,23520,60749,1820,33490,313,66,56,0,1033,51
1492,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,1338,12,21,16,92224,208638,20565,13952,26122,1552,11825,32782,10729,3235,66,101,10297,46752,1531,33566,405,99,80,0,621,55
1493,Red,1,0,1,1,0,1,1,5,1,0,2,0,1,1338,21,12,31,90565,253764,26389,9768,32910,1531,22069,42424,42726,14430,78,88,15149,47767,1699,41955,416,116,80,4,686,61
1494,Blue,0,0,1,0,0,0,0,3,0,0,2,0,0,1760,23,29,31,201614,253055,21651,37658,47976,2526,25555,47535,30116,9643,101,110,41358,48600,2883,48476,462,133,100,4,784,67
1495,Red,1,1,0,1,1,1,0,5,1,1,2,0,0,1760,29,23,51,276200,203646,50889,40015,27466,2885,49574,58433,54023,13335,138,146,41894,76236,2526,54074,480,160,107,8,1379,72
1496,Blue,1,0,1,0,0,1,0,9,1,0,3,0,0,2291,48,40,65,183134,636348,36299,42675,86019,14864,45752,106401,50558,23539,171,67,49841,104435,11641,75526,699,202,147,19,635,86
1497,Red,0,1,0,1,1,0,0,7,1,2,2,0,0,2291,40,48,69,268337,382021,48303,48247,71462,11640,46801,168216,65415,14427,235,138,47086,116115,14864,73484,558,208,134,8,641,84
1498,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,1313,12,29,8,72805,177544,10312,11335,20451,1739,13152,40915,2571,0,44,83,36516,42956,2370,29978,300,92,73,5,752,55
1499,Red,1,0,1,1,0,1,0,11,3,0,3,0,0,1313,29,12,41,240391,169047,24448,34009,28023,2371,21962,36793,48710,29095,87,93,13282,44408,4738,47079,440,120,69,24,746,63
1500,Blue,0,0,0,0,0,1,1,0,0,0,1,0,1,1762,21,43,15,50591,359991,47633,8893,44664,4183,18362,74583,22502,247,71,58,44297,69139,8760,45333,523,113,70,15,1004,69
1501,Red,1,1,1,1,1,0,0,11,3,1,3,0,0,1762,43,21,56,212209,333699,32091,43393,47185,8761,23543,49194,61627,27403,81,158,11052,73350,4182,59049,530,142,79,21,1729,74
1502,Blue,1,0,1,1,0,0,0,11,2,0,2,0,0,1405,32,11,40,125814,284974,27528,29047,30152,8652,13591,41191,46212,28990,95,122,9547,46093,3068,49852,460,130,71,27,516,65
1503,Red,0,1,0,0,0,1,0,1,0,0,1,0,0,1405,11,32,17,38908,227473,19576,8323,21552,2069,8890,55739,11121,5038,60,48,30434,48743,8652,33817,388,76,65,0,846,55
1504,Blue,0,0,1,0,0,0,0,1,0,0,0,0,0,1432,19,46,28,36960,271896,11698,10462,42599,1348,19220,62816,13887,4819,69,70,39526,67500,6781,39511,342,98,88,0,506,58
1505,Red,1,1,0,1,1,1,1,11,2,1,2,0,1,1432,46,19,44,176062,289585,27253,38574,41755,6782,19591,56847,67596,24168,47,119,12789,64482,1348,54500,468,125,75,13,690,70
1506,Blue,0,0,1,0,0,0,0,1,0,0,1,0,0,1160,7,19,8,62378,174584,24669,7055,16130,1948,9830,30980,14639,6913,61,72,17202,36618,1855,29653,431,82,60,2,915,50
1507,Red,1,1,0,0,0,1,0,0,0,0,2,0,0,1160,19,7,28,100389,161781,20205,16723,21228,1856,16228,18312,17376,4269,56,77,8288,31329,1949,32660,352,98,71,4,890,56
1508,Blue,0,0,0,0,0,1,0,1,0,0,1,0,0,1503,18,40,18,73481,204176,17870,17501,26623,2776,10789,51283,6827,3692,86,57,38657,47595,5784,38417,385,94,77,0,568,56
1509,Red,1,1,1,0,0,0,0,4,0,0,1,0,0,1503,40,18,56,137373,262442,23061,37566,29172,5691,16780,43947,19199,6093,113,128,19797,47794,2776,50270,497,122,84,15,726,66
1510,Blue,1,1,1,1,1,1,0,7,1,1,3,0,0,1427,28,16,52,111575,253389,46630,21001,32883,3179,20754,61521,51866,17488,102,84,26107,45232,2855,48773,484,130,73,19,746,66
1511,Red,0,0,0,0,0,0,0,3,0,0,0,0,0,1427,16,28,18,146714,139014,18545,25365,16769,2857,14473,46354,10893,8462,80,72,22375,47171,3178,38524,441,92,72,1,728,57
1512,Blue,1,0,1,1,1,1,1,11,3,1,4,0,1,1689,31,16,30,146629,345881,66568,34619,39872,9238,22229,43999,85931,24531,116,85,22938,52247,6272,55514,495,164,89,18,650,71
1513,Red,0,1,0,0,0,0,0,3,0,0,0,0,0,1689,16,31,20,110184,276685,42029,21633,22168,6275,13422,71145,11688,8531,78,95,35909,61369,9237,45871,573,91,78,0,1328,66
1514,Blue,0,0,0,0,0,1,0,4,0,0,2,0,0,1900,22,35,28,241159,216757,71741,42105,25124,11864,39116,106862,32511,11112,80,146,32121,95193,10961,51361,580,131,100,0,777,73
1515,Red,1,1,1,1,1,0,1,8,1,1,2,0,1,1900,35,22,67,170886,402960,39854,30186,64738,9473,25201,72489,64244,20686,126,109,43625,54449,15202,58741,560,126,76,16,1409,77
1516,Blue,0,0,0,0,0,0,0,4,0,0,0,0,0,2190,23,37,39,219128,421461,36521,33238,58547,8294,28130,91488,15984,10946,82,155,36078,80620,13869,57577,705,117,74,5,985,79
1517,Red,1,1,1,1,1,1,0,11,3,2,5,0,0,2190,37,23,46,123299,469914,94834,34976,55076,13871,45696,110352,99335,28141,126,109,36755,95169,8292,70882,603,176,97,40,493,85
1518,Blue,1,0,1,0,1,0,1,4,0,1,0,0,1,1996,36,34,58,165603,388964,30482,31322,59659,10006,51180,87652,59057,13137,136,88,42237,87237,6781,62405,531,152,105,4,963,78
1519,Red,0,1,0,1,0,1,0,7,1,0,4,0,0,1996,34,36,63,166592,410062,37907,37129,52107,6783,35173,89676,49053,21286,115,128,32231,85528,10006,60756,521,179,129,8,747,74
1520,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,1598,14,29,20,203170,200264,50211,26467,17348,4915,16083,50140,4696,1928,99,79,20384,66174,3087,41516,494,147,127,0,1424,63
1521,Red,1,1,1,0,1,1,0,4,0,1,3,0,0,1598,28,14,33,99850,401695,26751,17876,45714,3089,19149,50433,50391,12796,118,69,28961,40710,4915,51881,585,135,92,1,786,71
1522,Blue,0,1,1,0,0,0,1,5,0,0,1,0,1,2037,41,42,31,212303,456132,32822,37776,61518,4575,33875,94172,64278,14917,109,49,38686,94630,6282,62386,584,131,66,24,391,77
1523,Red,1,0,0,1,0,1,0,7,2,0,3,0,0,2037,42,41,61,180760,465144,65776,35752,64259,6283,26277,121018,42727,22083,136,177,40000,98645,4574,64000,623,106,76,14,1066,80
1524,Blue,0,1,1,1,0,1,1,6,1,0,1,0,1,1791,34,46,38,197296,203185,41566,41804,43272,3515,15573,64613,49295,20276,127,123,37702,64859,4679,51786,463,104,71,4,811,66
1525,Red,1,0,0,0,1,0,0,9,2,1,1,0,0,1791,46,34,53,192452,390927,40737,36935,45960,4680,30352,69469,51642,18284,83,130,45105,79570,3513,62988,523,164,118,9,1442,76
1526,Blue,1,1,1,1,0,0,1,10,2,0,2,0,1,1869,51,39,60,191299,392840,39030,35189,69623,11037,30172,112946,69294,28552,115,110,47654,73970,7668,65034,514,192,119,31,1219,79
1527,Red,0,0,0,0,0,1,0,4,0,0,2,0,0,1869,39,51,47,205735,326173,13832,42489,44759,7668,27180,87961,31696,16183,106,97,36456,98700,11036,59952,550,132,101,4,907,72
1528,Blue,0,1,0,0,0,0,0,2,0,0,0,0,0,1773,35,37,43,127623,342170,14966,30032,41130,3241,29953,62507,35424,8841,100,82,56388,62584,4524,52332,405,132,100,0,891,69
1529,Red,1,0,1,1,1,1,1,11,3,1,3,0,1,1773,37,35,35,266037,254402,22979,54378,31869,4526,29320,66832,55158,22364,118,74,33366,69281,8240,59320,491,168,120,16,1345,74
1530,Blue,0,0,0,0,0,0,0,3,0,0,3,0,0,2047,29,51,45,171129,285582,23523,41666,28088,4395,18880,87608,28718,9425,102,123,28728,96828,11285,55674,420,156,117,8,896,73
1531,Red,1,1,1,1,1,1,1,10,1,1,1,0,1,2047,51,29,49,114327,437405,63289,27742,76661,11286,16183,69500,68977,26936,91,79,43242,52549,4394,65277,512,134,79,14,380,69
1532,Blue,1,0,1,0,0,0,1,5,0,0,1,0,1,1238,11,13,16,56080,180193,40347,11825,17441,3453,14545,33426,32729,13675,68,35,6867,46264,738,33548,298,96,54,12,432,52
1533,Red,0,1,0,0,0,1,0,1,0,0,1,0,0,1238,12,12,10,31458,192364,7433,5759,25065,738,14688,27204,14410,7354,34,34,11825,34523,3452,28607,305,43,33,0,248,50
1534,Blue,1,1,1,1,0,1,1,6,1,0,2,0,1,1548,27,26,33,65532,322780,19683,17452,42882,2832,17550,34974,35158,19106,103,67,23017,54134,2277,46993,430,112,67,20,613,64
1535,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,1548,25,27,24,108352,217136,25153,21061,30747,2278,14625,37911,11130,7224,50,88,18332,58557,2830,40130,372,109,75,12,847,60
1536,Blue,1,0,0,1,1,1,0,7,1,1,3,0,0,1688,33,17,61,197951,250729,26102,33463,25671,2113,16896,53098,58932,18384,100,61,17464,53057,5279,53957,484,148,89,21,779,69
1537,Red,0,1,1,0,0,0,1,3,0,0,0,0,1,1688,17,33,25,48556,334200,20920,15002,35539,5281,12805,48170,30791,9683,113,78,34246,41016,2113,45780,478,110,71,4,591,63
1538,Blue,1,0,0,1,1,0,0,9,2,1,3,0,0,1859,41,29,48,196408,407051,32791,37309,56951,2515,19237,55481,69350,23825,127,58,54256,42156,8621,64157,605,167,94,18,1727,79
1539,Red,0,1,1,0,0,1,1,2,0,0,2,0,1,1859,28,42,40,328600,190416,64697,51720,19423,7903,27777,65079,43258,8427,102,79,40222,85064,2575,55139,635,140,108,4,687,71
1540,Blue,1,0,1,1,0,1,0,7,1,0,2,0,0,1450,31,19,48,197319,221763,23703,29876,36892,3178,35749,59404,31861,16040,117,68,34956,60360,4977,49044,507,156,96,16,747,67
1541,Red,0,1,0,0,0,0,0,1,0,0,0,0,0,1450,19,31,23,138095,209966,21713,33693,30455,4546,14019,67869,5533,1340,85,89,31531,55378,3178,39893,435,102,87,4,502,63
1542,Blue,1,1,1,1,1,0,0,9,3,1,3,0,0,1891,52,37,51,66914,495384,29151,17015,93368,6612,35803,69439,63814,23203,116,57,24480,97301,3466,67288,517,172,91,40,637,78
1543,Red,0,0,0,0,0,1,1,3,0,0,1,0,1,1891,37,52,55,76869,373354,31609,22140,68114,3468,21035,97815,34143,8761,95,103,17917,122214,6799,56717,457,108,68,12,605,72
1544,Blue,1,1,0,1,0,1,1,7,1,0,2,0,1,1386,41,22,43,139122,220397,41851,34755,40362,4122,13091,43492,33135,22460,64,65,26120,41508,4453,47073,462,100,56,8,621,65
1545,Red,0,0,1,0,0,0,0,3,0,0,1,0,0,1386,22,43,24,119494,165051,34403,25014,22077,4453,11462,41154,41848,11377,83,59,35319,61231,4120,40820,341,85,67,5,493,56
1546,Blue,1,1,1,1,1,1,1,11,3,1,4,0,1,1607,38,20,54,180320,226132,57958,43124,28302,9323,28487,54803,74039,27025,136,137,26551,55978,8140,56148,446,124,65,12,1003,69
1547,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,20,38,27,100636,201585,50268,24941,30413,6142,17077,66030,14125,2220,54,131,44037,50473,9322,41962,365,76,59,8,1079,62
1548,Blue,0,0,1,0,0,0,0,4,0,0,1,0,0,1535,15,18,16,127552,246817,14796,14267,30255,1180,23784,56315,32394,12165,97,66,30814,51225,4425,39709,465,96,58,10,671,60
1549,Red,1,1,0,1,0,1,0,10,1,0,2,0,0,1535,16,15,26,165225,327747,43601,29335,23066,3619,20192,54657,42899,25941,87,99,16458,57316,1179,46791,587,148,92,23,793,66
1550,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,17,35,22,270933,118744,20457,42324,15620,3291,12432,35381,7550,1810,77,86,21180,57765,11460,44372,555,88,69,4,843,68
1551,Red,1,1,1,1,0,1,1,11,2,0,3,0,1,1764,34,17,44,171918,325072,83288,20951,40552,11460,30418,57326,57372,19909,100,68,44246,47907,5291,62007,665,148,83,21,558,76
1552,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,1,0,7715,10755,762,105,589,110,1153,1191,528,109,1,0,284,2977,89,4350,27,12,9,0,75,11
1553,Red,1,1,0,0,0,0,0,0,0,0,0,0,0,201,1,1,0,4646,14110,909,284,1161,89,1008,1910,49,49,1,4,413,3358,110,5020,34,16,16,0,42,14
1554,Blue,0,1,0,0,1,0,1,10,3,2,1,0,1,2461,44,53,73,273005,577002,40317,50459,85972,12065,76605,208157,82393,21097,138,184,81440,132808,11079,79321,641,193,122,29,1459,88
1555,Red,1,0,1,1,0,1,0,9,4,0,4,0,0,2461,53,45,94,380347,547987,53608,77017,87643,9073,47204,165300,71331,22989,186,120,53619,118464,11777,83903,739,161,112,5,970,90
1556,Blue,0,0,1,1,0,1,1,7,2,0,2,0,1,2372,55,51,87,295325,404963,18314,86207,61395,5032,44210,215932,49412,18599,153,175,82392,115078,8676,76905,605,137,85,16,1531,85
1557,Red,1,1,0,0,1,0,0,10,3,2,3,0,0,2372,51,55,78,411027,485865,36184,79416,85464,8296,38626,192612,103095,24429,136,254,89961,95416,10536,81864,633,197,127,22,2049,88
1558,Blue,1,1,1,1,0,1,0,8,1,0,3,0,0,1563,31,25,51,85177,409821,33946,22445,49099,4391,16194,50558,50606,23676,97,81,9008,67196,3961,54755,534,141,90,13,1385,68
1559,Red,0,0,0,0,0,0,1,4,0,0,0,0,1,1563,25,31,29,49697,347563,27394,6560,43910,3961,18809,74106,27151,11365,86,51,24098,68466,4390,46958,551,101,78,6,629,64
1560,Blue,1,1,1,0,0,1,1,3,0,0,1,0,1,991,20,6,13,36475,203941,22065,6605,21436,1638,9501,19212,30274,8372,42,40,12244,20494,1264,31609,342,85,60,0,527,50
1561,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,991,6,20,3,51931,87737,9780,11562,8222,1264,6896,15609,4108,2479,23,30,7196,32440,1636,21936,207,54,47,0,500,45
1562,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,1655,30,40,64,60188,239824,21373,20832,59110,3099,16001,72948,22445,6793,63,112,17193,73805,10238,46215,306,51,42,4,1123,64
1563,Red,1,1,1,1,1,1,1,10,2,1,2,0,1,1655,39,30,39,52981,459027,66322,15304,50502,10238,33620,85282,58410,21009,80,102,25141,93367,3099,57640,467,214,103,56,993,70
1564,Blue,0,0,1,0,0,1,0,2,0,0,2,0,0,1807,14,32,24,180318,248169,40886,23567,32147,5971,40943,77051,27130,8703,111,137,50054,66536,7543,48591,601,120,91,4,1024,68
1565,Red,1,1,0,1,1,0,0,11,3,1,1,0,0,1807,32,14,35,159419,469770,56455,48101,44530,7543,47864,59298,56218,23586,96,64,27039,63150,7373,59420,607,191,127,22,978,77
1566,Blue,1,1,1,0,0,1,0,10,2,1,3,0,0,3131,65,51,115,299234,909774,48830,63657,109000,9828,78366,194996,51445,14703,215,153,99993,140679,19346,101197,876,285,196,32,1623,90
1567,Red,0,0,0,1,1,0,0,9,4,2,3,0,0,3131,51,65,75,419969,613399,53558,95621,96472,19256,57572,219084,110185,25416,197,112,65553,153335,10014,97179,791,168,104,6,1280,90
1568,Blue,0,1,1,0,0,1,1,6,1,1,2,0,1,2049,26,30,46,59029,573306,61865,7079,77948,9681,27850,100317,49173,15078,111,116,35143,79296,10388,59874,621,206,112,47,1217,77
1569,Red,1,0,0,1,1,0,0,6,2,1,3,0,0,2049,30,26,54,229305,326735,55503,32719,50846,9815,41579,143850,84291,31637,101,117,11356,103640,10117,59437,592,134,85,8,737,77
1570,Blue,0,1,1,0,0,0,0,4,0,0,0,0,0,2327,45,61,65,301291,354693,69166,82979,54704,9141,33577,88828,15833,12858,96,159,123730,58167,7899,69364,633,100,84,2,1042,85
1571,Red,1,0,0,1,1,1,0,10,3,1,5,0,0,2327,61,46,60,582837,364606,43186,121782,35122,7901,68056,120150,95490,24674,163,91,86627,99074,9138,81523,600,315,174,65,1139,88
1572,Blue,0,0,1,0,0,0,0,6,0,0,0,0,0,2074,35,40,47,150060,304067,27670,30505,54778,4448,36099,90611,29979,16144,79,214,57692,79902,7619,59391,524,88,71,4,1285,76
1573,Red,1,1,0,1,1,1,1,10,2,1,5,0,1,2074,40,35,27,243411,414602,65512,56440,51294,7620,36099,99429,93779,23196,98,158,35650,93436,4646,65815,514,217,127,23,585,82
1574,Blue,1,0,1,1,0,0,1,11,4,0,2,0,2,1774,65,34,67,101405,415526,50007,32767,69768,13361,35378,100642,67600,25031,72,140,30105,82348,8174,66130,425,149,75,34,637,76
1575,Red,0,1,0,0,0,1,0,0,0,0,2,0,0,1774,33,65,43,110834,343053,29490,27884,55742,5175,24141,86428,19954,3639,63,119,33903,101322,13361,50838,452,91,67,0,1771,69
1576,Blue,1,0,1,0,0,1,1,3,0,0,3,0,1,1256,20,13,15,35574,242581,36242,10294,27254,4291,20448,40885,39902,8772,53,76,21014,43922,2001,33785,318,84,33,24,489,56
1577,Red,0,1,0,0,0,0,0,1,0,0,0,0,0,1256,13,20,9,104854,149355,31291,19786,22914,2001,9283,37954,9881,3333,52,79,11285,43798,4290,29855,355,64,49,0,715,52
1578,Blue,1,0,1,0,0,1,0,2,0,0,1,0,0,996,32,17,36,43990,151332,10745,10109,34441,2856,14668,33325,12461,6937,33,56,6568,42132,1712,35445,213,89,58,13,421,48
1579,Red,0,1,0,0,0,0,0,0,0,0,1,0,0,996,16,33,14,55653,128529,14685,5959,25771,1712,11875,46446,14063,6930,33,59,10406,51677,2855,26708,258,64,42,0,433,45
1580,Blue,1,0,1,1,1,0,1,11,3,1,2,0,2,2006,33,39,27,207380,557420,26794,30279,49048,2661,34823,77359,80234,21462,159,95,52845,71088,9803,64621,534,244,126,54,1583,78
1581,Red,0,1,0,0,0,1,0,3,0,0,3,0,0,2006,39,33,28,303257,303422,50863,50052,36966,9804,33770,65469,37553,10829,120,102,31680,78732,2661,58408,545,142,103,5,1686,69
1582,Blue,0,0,0,0,0,0,1,0,0,0,1,0,1,1269,17,31,26,78226,98890,21926,20007,12842,1987,13971,61706,14251,0,41,83,16971,54099,3009,31424,244,56,37,4,765,53
1583,Red,1,1,1,0,0,1,0,4,0,0,1,0,0,1269,31,18,47,75245,225138,19115,15769,40760,3011,14876,46783,18065,8791,71,104,21549,40373,1985,42246,338,86,49,12,1002,54
1584,Blue,0,0,0,0,0,1,1,2,0,0,1,0,1,1657,45,63,56,222933,185290,63669,45305,43905,10944,29643,108467,23057,5139,85,116,32189,109362,8271,56366,380,135,84,16,1528,69
1585,Red,1,1,1,1,1,0,0,10,2,1,3,0,1,1657,63,45,49,58674,464973,37401,31378,90612,8273,35789,61317,73815,24736,87,176,47964,68396,10943,67006,431,131,91,11,735,75
1586,Blue,1,0,1,0,0,1,1,1,0,0,1,0,1,862,15,15,11,66193,123075,13456,10595,11038,914,10210,24075,18445,4384,31,48,10240,32064,978,25621,211,107,55,21,588,44
1587,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,862,14,15,5,38142,61796,12090,8869,10448,978,2647,10017,3683,1663,16,45,10596,15213,914,21372,212,5,5,0,438,39
1588,Blue,0,0,0,0,0,0,0,6,0,0,2,0,0,2440,55,65,104,199809,421141,58083,59869,75365,21060,32508,219132,35996,16952,95,235,91939,97742,23575,73877,528,100,77,9,1525,81
1589,Red,1,1,1,1,1,1,1,10,2,1,5,0,1,2440,65,55,96,364272,482554,108030,89700,73860,23576,56596,161895,106745,23415,166,163,62292,106832,21727,86320,572,291,147,70,720,88
1590,Blue,0,1,1,0,1,1,1,6,2,2,3,0,2,2862,69,75,86,283953,992086,92866,59415,136603,30819,79572,241369,100383,13367,157,215,107334,133607,6759,98253,840,184,98,21,2255,90
1591,Red,1,0,0,1,0,0,0,11,5,0,4,0,0,2862,75,69,77,442163,638037,44415,106347,87032,6737,51727,296646,79605,25566,197,241,61830,167796,31748,94507,716,232,136,31,2685,89
1592,Blue,1,1,1,1,1,1,0,11,5,1,4,0,0,1878,54,32,76,284946,243012,20064,59019,52614,4346,25678,88303,64976,23456,93,163,54795,48340,4554,61249,430,136,78,17,761,73
1593,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,32,54,39,229539,191823,29470,53339,18166,4555,19621,89846,9749,3362,54,165,60411,76076,4346,50903,450,84,64,0,1547,70
1594,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,3110,4766,0,547,1173,0,25,1149,0,0,1,2,351,2088,76,3837,23,0,0,0,38,11
1595,Red,1,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,2383,15769,2650,351,1790,76,1148,2317,0,0,3,4,1080,3183,0,4532,37,14,14,0,41,13
1596,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,18,34,26,24697,186120,20278,8963,29847,6943,23475,40634,11487,5624,40,68,30265,42656,1489,34480,305,56,35,12,314,54
1597,Red,1,1,1,1,0,1,1,7,1,0,3,0,2,1348,34,19,38,216046,154027,37575,29587,27519,1490,22706,73159,51535,15709,88,125,10320,57717,6997,47552,401,167,84,48,1236,61
1598,Blue,1,1,0,0,0,1,0,0,0,0,2,0,0,975,12,5,11,35535,188101,24365,7756,18195,926,13189,20052,16607,5645,57,36,9593,25102,1182,27144,354,88,63,0,378,50
1599,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,975,5,12,4,67316,110499,14224,8648,8413,1182,11381,22859,6535,3910,41,52,9134,29448,925,22513,288,80,64,0,359,46
1600,Blue,1,1,1,0,0,1,1,3,0,0,2,0,1,1182,19,10,18,18196,226380,32669,3970,41866,1342,9635,35833,27095,7919,61,75,21166,30089,2475,32978,309,76,41,0,420,54
1601,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,10,19,13,93427,117704,10130,20646,15194,2156,9099,37681,6442,2572,47,66,4756,53120,1342,27763,280,64,59,0,595,50
1602,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,1683,19,48,27,199701,165606,22810,56643,12089,4456,34876,85779,6451,4028,29,189,28436,87761,10473,41990,365,103,75,9,1163,66
1603,Red,1,1,1,1,1,1,0,10,2,1,3,0,0,1683,48,19,54,116776,318136,50986,27328,67507,10475,25924,65776,62602,24372,89,146,58325,38719,4455,56492,386,108,54,12,874,77
1604,Blue,0,1,0,0,0,0,0,2,0,0,1,0,0,1374,12,18,25,107528,161654,23089,21426,20830,1810,12574,33605,17946,6839,80,101,9770,42085,6433,32290,287,88,53,9,543,54
1605,Red,1,0,1,0,0,1,1,3,0,0,2,0,1,1374,16,12,23,61245,247713,26583,8237,25999,6435,18882,42879,36780,8871,46,66,22874,41217,1810,34805,342,97,67,5,236,59
1606,Blue,0,0,1,0,0,0,1,3,0,0,0,0,1,1674,17,22,20,139325,225580,24942,35990,18528,2440,16403,44073,24642,6796,102,119,32126,46706,1962,42035,371,128,95,4,1650,60
1607,Red,1,1,0,1,1,1,0,7,1,1,2,0,0,1674,22,17,34,200231,203793,27042,30314,26814,1963,17562,68735,45797,16355,84,75,37768,38167,2439,47996,436,124,84,4,742,68
